Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Targets,Receptions,Receiving_Yards,Receiving_TDs,First_Downs,Fumbles,Teams,Yards_Per_Reception,Catch_Rate,TD_Rate,Yards_Per_Game,TD_Per_Game,First_Down_Rate,Player_Score,Tier,All_Time_Rank,Experience_Level,Prime_Years,Prime_Rating
Trishton Jackson,2023,2023,1,25,7,0,4.0,2,9,0,0,0.0,MIN,4.5,50.0,0.0,1.3,0.0,0.0,6.9,Below Average,1172,Minimal,,
Troy Brown,2000,2006,5,35,74,60,537.0,364,3889,20,200,10.0,NWE,10.7,67.8,5.5,52.6,0.27,54.9,37.6,Elite,118,Moderate,2001-2003,20.2
Troy Edwards,2000,2005,6,28,76,16,247.0,142,1690,6,79,6.0,"DET, JAX, PIT, STL",11.9,57.5,4.2,22.2,0.08,55.6,22.1,Great,407,Limited,,
Troy Walters,2000,2007,7,31,92,9,143.0,102,1135,9,63,13.0,"ARI, DET, IND, MIN",11.1,71.3,8.8,12.3,0.1,61.8,21.3,Great,443,Limited,,
Troy Williamson,2005,2009,5,26,49,24,184.0,87,1131,4,52,1.0,"JAX, MIN",13.0,47.3,4.6,23.1,0.08,59.8,19.3,Good,538,Minimal,,
Tutu Atwell,2022,2023,2,24,29,18,102.0,57,781,4,37,0.0,LAR,13.7,55.9,7.0,26.9,0.14,64.9,20.5,Great,476,Minimal,,
Ty Montgomery,2015,2022,6,29,56,9,112.0,75,598,3,23,2.0,"2TM, GNB, NOR, NWE, NYJ",8.0,67.0,4.0,10.7,0.05,30.7,14.2,Average,864,Minimal,,
Tylan Wallace,2021,2023,3,24,37,1,15.0,7,67,0,3,0.0,BAL,9.6,46.7,0.0,1.8,0.0,42.9,9.8,Below Average,1137,Minimal,,
Tyler Boyd,2016,2023,8,29,120,77,753.0,513,6000,31,302,5.0,CIN,11.7,68.1,6.0,50.0,0.26,58.9,37.8,Elite,117,Moderate,2020-2022,21.8
Tyler Grisham,2009,2009,1,22,4,0,2.0,1,14,0,1,0.0,PIT,14.0,50.0,0.0,3.5,0.0,100.0,14.3,Average,855,Minimal,,
Tyler Johnson,2020,2023,3,25,32,6,75.0,50,537,3,24,0.0,"LAR, TAM",10.7,66.7,6.0,16.8,0.09,48.0,17.0,Good,673,Minimal,,
Tyler Lockett,2015,2023,9,31,144,120,864.0,612,7994,59,363,8.0,SEA,13.1,70.8,9.6,55.5,0.41,59.3,47.3,Elite,56,Moderate,2018-2020,25.2
Tyler Scott,2023,2023,1,22,17,4,32.0,17,168,0,10,1.0,CHI,9.9,53.1,0.0,9.9,0.0,58.8,12.4,Average,1001,Minimal,,
Tyquan Thornton,2022,2023,2,23,22,12,68.0,35,338,2,16,0.0,NWE,9.7,51.5,5.7,15.4,0.09,45.7,14.8,Average,825,Minimal,,
Tyreek Hill,2016,2023,8,29,124,106,1049.0,717,10139,76,462,11.0,"KAN, MIA",14.1,68.4,10.6,81.8,0.61,64.4,59.9,Elite,19,Extended,2018-2020,24.9
Tyrell Williams,2015,2021,6,29,70,50,326.0,199,3195,23,141,3.0,"DET, LAC, OAK, SDG",16.1,61.0,11.6,45.6,0.33,70.9,33.6,Elite,164,Limited,2017-2019,23.9
Tyrie Cleveland,2020,2022,3,25,23,0,17.0,8,91,0,5,0.0,DEN,11.4,47.1,0.0,4.0,0.0,62.5,11.5,Below Average,1053,Minimal,,
Tyron Johnson,2020,2022,3,26,26,1,32.0,23,422,3,16,0.0,"2TM, LAC",18.3,71.9,13.0,16.2,0.12,69.6,20.6,Great,471,Minimal,,
Tyrone Calico,2003,2005,3,25,27,8,89.0,42,501,4,27,1.0,TEN,11.9,47.2,9.5,18.6,0.15,64.3,19.9,Good,503,Minimal,,
Tywan Mitchell,2000,2001,2,26,26,5,51.0,30,276,2,15,0.0,ARI,9.2,58.8,6.7,10.6,0.08,50.0,16.1,Good,738,Minimal,,
Van Jefferson,2020,2023,4,27,61,35,207.0,113,1600,10,73,1.0,"2TM, LAR",14.2,54.6,8.8,26.2,0.16,64.6,22.7,Great,388,Limited,,
Vance McDonald,2016,2016,1,26,11,11,45.0,24,391,4,13,0.0,SFO,16.3,53.3,16.7,35.5,0.36,54.2,25.6,Great,310,Minimal,,
Velus Jones Jr.,2022,2023,2,26,26,2,21.0,11,127,1,5,3.0,CHI,11.5,52.4,9.1,4.9,0.04,45.5,12.4,Average,1001,Minimal,,
Ventell Bryant,2019,2019,1,23,12,0,1.0,1,15,1,1,0.0,DAL,15.0,100.0,100.0,1.2,0.08,100.0,19.1,Good,546,Minimal,,
Verran Tucker,2010,2010,1,22,11,2,19.0,6,114,1,5,0.0,KAN,19.0,31.6,16.7,10.4,0.09,83.3,16.8,Good,690,Minimal,,
Victor Bolden,2018,2018,1,23,6,0,4.0,1,10,0,1,0.0,2TM,10.0,25.0,0.0,1.7,0.0,100.0,10.1,Below Average,1128,Minimal,,
Victor Cruz,2011,2016,5,30,67,53,509.0,303,4549,25,194,3.0,NYG,15.0,59.5,8.3,67.9,0.37,64.0,41.5,Elite,89,Moderate,2011-2013,22.0
Vince Mayle,2015,2017,2,26,17,0,2.0,0,0,0,0,0.0,"BAL, DAL",,0.0,,0.0,0.0,,0.1,Below Average,1193,,,
Vincent Brisby,2000,2000,1,29,3,1,10.0,4,60,0,3,0.0,NYJ,15.0,40.0,0.0,20.0,0.0,75.0,16.5,Good,714,Minimal,,
Vincent Brown,2011,2015,4,26,38,16,133.0,73,941,3,53,0.0,"OAK, SDG",12.9,54.9,4.1,24.8,0.08,72.6,20.2,Great,485,Minimal,,
Vincent Jackson,2005,2016,12,33,155,137,1035.0,540,9080,57,431,3.0,"SDG, TAM",16.8,52.2,10.6,58.6,0.37,79.8,50.3,Elite,43,Moderate,2008-2011,24.1
Vinny Sutherland,2001,2001,1,23,15,0,1.0,1,5,0,0,1.0,SFO,5.0,100.0,0.0,0.3,0.0,0.0,12.2,Below Average,1010,Minimal,,
Vyncint Smith,2018,2021,4,25,29,5,45.0,23,329,1,15,1.0,"HOU, NYJ",14.3,51.1,4.3,11.3,0.03,65.2,14.9,Average,818,Minimal,,
Wallace Wright,2007,2009,2,25,32,1,14.0,8,108,0,6,0.0,NYJ,13.5,57.1,0.0,3.4,0.0,75.0,13.9,Average,884,Minimal,,
Walt Powell,2016,2016,1,25,9,2,25.0,14,142,0,7,0.0,BUF,10.1,56.0,0.0,15.8,0.0,50.0,13.2,Average,938,Minimal,,
Walter Young,2003,2006,2,27,9,0,6.0,1,17,0,1,0.0,"CAR, PIT",17.0,16.7,0.0,1.9,0.0,100.0,13.0,Average,954,Minimal,,
Wan'Dale Robinson,2022,2023,2,22,21,11,109.0,83,752,2,42,0.0,NYG,9.1,76.1,2.4,35.8,0.1,50.6,20.9,Great,457,Minimal,,
Wane McGarity,2000,2001,2,25,26,1,61.0,32,293,1,18,4.0,"2TM, DAL",9.2,52.5,3.1,11.3,0.04,56.2,15.0,Average,813,Minimal,,
Wayne Chrebet,2000,2005,6,32,77,52,436.0,249,3217,20,173,2.0,NYJ,12.9,57.1,8.0,41.8,0.26,69.5,34.2,Elite,155,Limited,2000-2002,20.7
Wendall Williams,2016,2016,1,26,3,0,7.0,4,75,0,3,0.0,HOU,18.8,57.1,0.0,25.0,0.0,75.0,18.1,Good,593,Minimal,,
Wes Welker,2005,2015,11,34,160,102,1275.0,903,9924,50,518,20.0,"DEN, MIA, NWE, STL",11.0,70.8,5.5,62.0,0.31,57.4,51.7,Elite,36,Extended,2011-2013,21.6
Weslye Saunders,2011,2011,1,22,16,6,8.0,4,29,1,3,0.0,PIT,7.2,50.0,25.0,1.8,0.06,75.0,12.3,Below Average,1006,Minimal,,
Will Blackwell,2000,2001,2,26,6,0,4.0,3,31,0,1,0.0,PIT,10.3,75.0,0.0,5.2,0.0,33.3,13.9,Average,884,Minimal,,
Will Buchanon,2006,2006,1,23,1,0,1.0,1,9,0,1,0.0,OAK,9.0,100.0,0.0,9.0,0.0,100.0,17.8,Good,614,Minimal,,
Will Franklin,2008,2008,1,23,13,1,17.0,7,83,0,3,0.0,KAN,11.9,41.2,0.0,6.4,0.0,42.9,11.3,Below Average,1066,Minimal,,
Will Fuller,2016,2021,6,27,55,52,341.0,213,3136,24,141,3.0,"HOU, MIA",14.7,62.5,11.3,57.0,0.44,66.2,37.1,Elite,125,Limited,2016-2020,21.9
Willie Jackson,2000,2002,3,31,43,25,268.0,143,1826,12,110,4.0,"2TM, NOR",12.8,53.4,8.4,42.5,0.28,76.9,31.3,Elite,200,Limited,,
Willie Ponder,2003,2004,2,24,15,0,12.0,8,38,0,1,1.0,NYG,4.8,66.7,0.0,2.5,0.0,12.5,10.1,Below Average,1128,Minimal,,
Willie Reid,2007,2007,1,25,6,0,6.0,4,54,0,2,1.0,PIT,13.5,66.7,0.0,9.0,0.0,50.0,14.6,Average,835,Minimal,,
Willie Snead,2015,2023,8,31,99,48,421.0,281,3445,16,182,6.0,"2TM, BAL, NOR, SFO",12.3,66.7,5.7,34.8,0.16,64.8,28.1,Elite,250,Limited,2015-2018,20.1
Windrell Hayes,2000,2001,2,25,9,1,21.0,6,126,0,6,0.0,NYJ,21.0,28.6,0.0,14.0,0.0,100.0,17.6,Good,626,Minimal,,
Xavier Gipson,2023,2023,1,22,17,3,38.0,21,229,0,9,5.0,NYJ,10.9,55.3,0.0,13.5,0.0,42.9,13.0,Average,954,Minimal,,
