Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Targets,Receptions,Receiving_Yards,Receiving_TDs,First_Downs,Fumbles,Teams,Yards_Per_Reception,Catch_Rate,TD_Rate,Yards_Per_Game,TD_Per_Game,First_Down_Rate,Player_Score,Tier,All_Time_Rank,Experience_Level,Prime_Years,Prime_Rating
Alex Smith,2005,2015,10,33,122,57,265.0,163,1473,13,84,2.0,"CIN, CLE, PHI, TAM, WAS",9.0,61.5,8.0,12.1,0.11,51.5,18.3,Elite,111,Limited,2005-2007,19.6
Alfred Pupunu,2000,2000,1,31,9,0,3.0,3,32,0,1,0.0,DET,10.7,100.0,0.0,3.6,0.0,33.3,13.2,Great,209,Minimal,,
Alge Crumpler,2001,2010,10,33,155,132,632.0,373,4743,39,221,6.0,"ATL, NWE, TEN",12.7,59.0,10.5,30.6,0.25,59.2,38.7,Elite,20,Moderate,2002-2004,22.0
Allen Reisner,2011,2013,3,25,15,3,12.0,7,58,0,3,0.0,"JAX, MIN",8.3,58.3,0.0,3.9,0.0,42.9,8.3,Below Average,535,Minimal,,
Alonzo Mayes,2000,2000,1,25,5,3,9.0,4,40,0,1,0.0,CHI,10.0,44.4,0.0,8.0,0.0,25.0,7.8,Below Average,555,Minimal,,
Andrew Beck,2019,2022,2,26,29,10,23.0,14,159,1,8,0.0,DEN,11.4,60.9,7.1,5.5,0.03,57.1,9.4,Average,465,Minimal,,
Andrew Glover,2000,2000,1,33,16,14,40.0,21,281,4,12,0.0,NOR,13.4,52.5,19.0,17.6,0.25,57.1,11.3,Good,313,Minimal,,
Andrew Jordan,2000,2001,2,29,32,8,22.0,11,74,1,3,0.0,MIN,6.7,50.0,9.1,2.3,0.03,27.3,8.1,Below Average,546,Minimal,,
Andrew Ogletree,2023,2023,1,25,12,9,21.0,9,147,2,8,0.0,IND,16.3,42.9,22.2,12.2,0.17,88.9,8.9,Below Average,498,Minimal,,
Andrew Quarless,2010,2015,5,27,60,27,141.0,89,940,6,55,1.0,GNB,10.6,63.1,6.7,15.7,0.1,61.8,14.5,Great,172,Minimal,,
Anthony Becht,2000,2011,11,34,167,132,298.0,188,1537,21,98,4.0,"ARI, KAN, NYJ, STL, TAM",8.2,63.1,11.2,9.2,0.13,52.1,22.3,Elite,71,Limited,2001-2003,22.3
Anthony Fasano,2006,2017,12,33,180,136,474.0,299,3278,36,184,3.0,"DAL, KAN, MIA, TEN",11.0,63.1,12.0,18.2,0.2,61.5,31.3,Elite,33,Limited,2008-2010,22.6
Anthony Hill,2009,2011,2,26,12,2,5.0,3,19,0,0,0.0,"HOU, IND",6.3,60.0,0.0,1.6,0.0,0.0,7.8,Below Average,555,Minimal,,
Anthony McCoy,2011,2012,2,25,32,14,52.0,31,437,3,20,0.0,SEA,14.1,59.6,9.7,13.7,0.09,64.5,11.7,Good,292,Minimal,,
Antonio Gates,2003,2018,16,38,236,190,1459.0,955,11841,116,652,8.0,"LAC, SDG",12.4,65.5,12.1,50.2,0.49,68.3,89.9,Elite,2,Extended,2009-2011,25.3
Antony Auclair,2017,2021,5,28,56,33,19.0,15,131,1,6,0.0,"HOU, TAM",8.7,78.9,6.7,2.3,0.02,40.0,10.3,Average,396,Minimal,,
Armani Rogers,2022,2022,1,25,11,3,6.0,5,64,0,4,0.0,WAS,12.8,83.3,0.0,5.8,0.0,80.0,11.0,Good,341,Minimal,,
Asante Cleveland,2014,2015,2,23,10,1,2.0,1,1,0,0,0.0,"NWE, SFO",1.0,50.0,0.0,0.1,0.0,0.0,5.5,Below Average,611,Minimal,,
Austin Hooper,2016,2023,8,29,122,68,499.0,364,3702,25,190,0.0,"ATL, CLE, LVR, TEN",10.2,72.9,6.9,30.3,0.2,52.2,29.9,Elite,37,Moderate,2017-2019,22.3
Austin Seferian-Jenkins,2014,2018,5,26,43,29,190.0,116,1160,11,63,2.0,"2TM, JAX, NYJ, TAM",10.0,61.1,9.5,27.0,0.26,54.3,15.5,Great,151,Limited,,
Austin Traylor,2017,2017,1,24,7,3,13.0,8,100,0,6,0.0,DEN,12.5,61.5,0.0,14.3,0.0,75.0,9.2,Average,477,Minimal,,
Bear Pascoe,2009,2014,6,28,82,34,61.0,40,336,2,18,0.0,"ATL, NYG",8.4,65.6,5.0,4.1,0.02,45.0,10.8,Good,350,Minimal,,
Ben Braunecker,2016,2019,3,25,39,7,22.0,13,142,1,9,0.0,CHI,10.9,59.1,7.7,3.6,0.03,69.2,9.1,Average,487,Minimal,,
Ben Coates,2000,2000,1,31,16,9,18.0,9,84,0,3,0.0,BAL,9.3,50.0,0.0,5.2,0.0,33.3,8.4,Below Average,529,Minimal,,
Ben Ellefson,2020,2022,3,26,16,5,8.0,4,36,0,3,0.0,"JAX, MIN",9.0,50.0,0.0,2.2,0.0,75.0,7.3,Below Average,568,Minimal,,
